timestamp,EAR,eye_closure_duration,yaw,pitch,phone_detected,phone_confidence,driver_state
2026-09-13T19:28:09.942998,0.2869,0.0,8.249,-8.323,0,0.0,Alert
2026-09-13T19:28:11.365394,0.2638,0.0,0.809,-2.767,0,0.0,Alert
2026-09-13T19:28:12.776315,0.2672,0.0,1.373,-2.44,0,0.0,Alert
2026-09-13T19:28:14.313910,0.2606,0.0,0.331,-0.943,0,0.0,Alert
2026-09-13T19:28:16.049817,0.1459,1.388,1.159,-1.148,0,0.0,Alert
2026-09-13T19:28:17.748936,0.1797,3.087,1.274,-0.372,0,0.0,Alert
2026-09-13T19:28:19.439700,0.3227,0.0,0.397,-2.457,0,0.0,Alert
2026-09-13T19:28:21.110979,0.3323,0.0,0.145,-0.901,0,0.0,Alert
2026-09-13T19:28:22.757081,0.3727,0.0,30.494,-10.125,0,0.0,Alert
2026-09-13T19:28:24.451901,0.3496,0.0,29.644,-9.891,0,0.0,Alert
2026-09-13T19:28:26.233571,0.3206,0.0,-31.477,-5.526,0,0.0,Alert
2026-09-13T19:28:28.031516,0.2824,0.0,-12.433,-3.637,0,0.0,Alert
2026-09-13T19:28:30.450862,0.177,0.863,-1.732,-0.256,0,0.0,Alert
2026-09-13T19:28:32.555918,0.2784,0.0,1.785,-8.493,0,0.0,Alert
2026-09-13T19:28:34.408055,0.262,0.0,-3.791,-2.356,0,0.0,Alert
2026-09-13T19:28:36.434807,0.255,0.0,-4.233,-7.725,0,0.0,Alert
2026-09-13T19:28:38.576584,0.2256,1.794,-5.672,-6.02,0,0.0,Alert
2026-09-13T19:28:40.197626,0.2686,0.0,-6.522,-5.808,0,0.0,Alert
2026-09-13T19:28:41.999282,0.1235,0.0,-5.825,-5.97,0,0.0,Alert
2026-09-13T19:28:44.251553,0.2186,2.252,-0.912,-1.995,0,0.0,Alert
2026-09-13T19:34:45.282322,0.2742,0.0,-0.259,-3.857,0,0.0,Alert
2026-09-13T19:34:46.574875,0.2766,0.0,-0.497,1.994,0,0.0,Alert
2026-09-13T19:34:47.844133,0.2416,0.503,-0.98,0.951,0,0.0,Alert
2026-09-13T19:34:49.132235,0.0753,1.791,-0.696,2.844,0,0.0,Drowsy
2026-09-13T19:34:50.430210,0.0901,3.089,-0.763,3.639,0,0.0,Drowsy
2026-09-13T19:34:51.730217,0.109,4.389,-0.733,6.391,0,0.0,Drowsy
2026-09-13T19:34:53.018927,0.0677,5.678,-0.306,3.716,0,0.0,Drowsy
2026-09-13T19:34:54.306631,0.0599,6.966,-0.206,5.16,0,0.0,Drowsy
2026-09-13T19:34:55.594315,0.2137,8.253,-1.074,4.07,0,0.0,Drowsy
2026-09-13T19:34:56.858910,0.114,9.518,-0.033,11.402,0,0.0,Drowsy
