Model,Accuracy,Precision,Recall,F1_Score
Logistic Regression,0.8852459016393442,0.9057377049180327,0.8852459016393442,0.8880692167577413
Random Forest,0.9016393442622951,0.9104990356798457,0.9016393442622951,0.9031190253427165
SVM,0.8852459016393442,0.9217585692995529,0.8852459016393442,0.8891653317882826
Tuned SVM,0.8688524590163934,0.8975409836065574,0.8688524590163934,0.8733361356312176
